id,word,meaningVi,topic,cefr,example,pooTip,quiz
1,hello,xin chào,greetings,A1,I can use 'hello' in a simple sentence.,"Học từ 'hello' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'hello' thuộc chủ đề nào?"", 'answer': 'greetings'}"
2,hi,chào,greetings,A1,I can use 'hi' in a simple sentence.,"Học từ 'hi' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'hi' thuộc chủ đề nào?"", 'answer': 'greetings'}"
3,goodbye,tạm biệt,greetings,A1,I can use 'goodbye' in a simple sentence.,"Học từ 'goodbye' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'goodbye' thuộc chủ đề nào?"", 'answer': 'greetings'}"
4,please,làm ơn,greetings,A1,I can use 'please' in a simple sentence.,"Học từ 'please' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'please' thuộc chủ đề nào?"", 'answer': 'greetings'}"
5,thanks,cảm ơn,greetings,A1,I can use 'thanks' in a simple sentence.,"Học từ 'thanks' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'thanks' thuộc chủ đề nào?"", 'answer': 'greetings'}"
6,sorry,xin lỗi,greetings,A1,I can use 'sorry' in a simple sentence.,"Học từ 'sorry' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'sorry' thuộc chủ đề nào?"", 'answer': 'greetings'}"
7,welcome,chào mừng,greetings,A1,I can use 'welcome' in a simple sentence.,"Học từ 'welcome' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'welcome' thuộc chủ đề nào?"", 'answer': 'greetings'}"
8,morning,nghĩa cơ bản của 'morning',greetings,A1,I can use 'morning' in a simple sentence.,"Học từ 'morning' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'morning' thuộc chủ đề nào?"", 'answer': 'greetings'}"
9,evening,nghĩa cơ bản của 'evening',greetings,A1,I can use 'evening' in a simple sentence.,"Học từ 'evening' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'evening' thuộc chủ đề nào?"", 'answer': 'greetings'}"
10,night,nghĩa cơ bản của 'night',greetings,A1,I can use 'night' in a simple sentence.,"Học từ 'night' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'night' thuộc chủ đề nào?"", 'answer': 'greetings'}"
11,name,nghĩa cơ bản của 'name',greetings,A1,I can use 'name' in a simple sentence.,"Học từ 'name' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'name' thuộc chủ đề nào?"", 'answer': 'greetings'}"
12,meet,nghĩa cơ bản của 'meet',greetings,A1,I can use 'meet' in a simple sentence.,"Học từ 'meet' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'meet' thuộc chủ đề nào?"", 'answer': 'greetings'}"
